iter	Passed	Remaining
563	1247	964
564	1249	962
565	1251	959
566	1253	957
567	1255	954
568	1257	952
569	1258	949
570	1260	947
571	1262	944
572	1263	941
573	1265	938
574	1266	936
575	1268	933
576	1270	931
577	1272	928
578	1274	926
579	1276	924
580	1278	922
581	1280	919
582	1281	916
583	1283	914
584	1286	912
585	1287	909
586	1288	906
587	1290	904
588	1292	901
589	1293	899
590	1295	896
591	1296	893
592	1298	891
593	1300	889
594	1302	886
595	1304	884
596	1305	881
597	1307	878
598	1308	876
599	1310	873
600	1311	870
601	1313	868
602	1316	866
603	1317	864
604	1319	861
605	1320	858
606	1322	856
607	1324	853
608	1326	851
609	1327	848
610	1329	846
611	1331	843
612	1333	841
613	1335	839
614	1337	837
615	1339	834
616	1341	832
617	1342	830
618	1344	827
619	1346	825
620	1348	822
621	1350	820
622	1352	818
623	1354	815
624	1357	814
625	1358	811
626	1360	809
627	1362	807
628	1365	805
629	1367	803
630	1369	800
631	1370	798
632	1372	795
633	1374	793
634	1376	791
635	1380	789
636	1381	787
637	1383	785
638	1385	782
639	1386	780
640	1388	777
641	1390	775
642	1393	773
643	1396	772
644	1399	770
645	1401	767
646	1403	765
647	1404	762
648	1406	760
649	1444	777
650	1446	775
651	1463	781
652	1466	779
653	1469	777
654	1471	775
655	1477	774
656	1479	772
657	1482	770
658	1484	768
659	1486	765
660	1491	764
661	1494	762
662	1497	761
663	1504	761
664	1506	758
665	1508	756
666	1510	753
667	1511	751
668	1513	748
669	1515	746
670	1517	744
671	1523	743
672	1525	741
673	1528	739
674	1530	737
675	1533	734
676	1537	733
677	1540	731
678	1541	728
679	1544	726
680	1545	724
681	1547	721
682	1550	719
683	1552	717
684	1554	714
685	1556	712
686	1557	709
687	1559	707
688	1561	704
689	1562	702
690	1564	699
691	1567	697
692	1568	695
693	1570	692
694	1571	689
695	1573	687
696	1575	684
697	1576	682
698	1578	679
699	1580	677
700	1582	674
701	1584	672
702	1585	669
703	1588	667
704	1590	665
705	1592	663
706	1593	660
707	1595	658
708	1597	655
709	1599	653
710	1601	650
711	1602	648
712	1605	646
713	1607	643
714	1608	641
715	1610	638
716	1612	636
717	1614	634
718	1615	631
719	1617	629
720	1621	627
721	1623	624
722	1625	622
723	1627	620
724	1628	617
725	1629	615
726	1631	612
727	1632	610
728	1635	607
729	1637	605
730	1639	603
731	1640	600
732	1642	598
733	1644	595
734	1645	593
735	1647	590
736	1649	588
737	1651	586
738	1653	583
739	1655	581
740	1656	579
741	1658	576
742	1660	574
743	1662	572
744	1664	569
745	1667	567
746	1668	565
747	1671	562
748	1673	560
749	1674	558
750	1676	555
751	1678	553
752	1679	551
753	1682	548
754	1684	546
755	1685	544
756	1687	541
757	1688	539
758	1690	536
759	1692	534
760	1694	532
761	1695	529
762	1697	527
763	1699	524
764	1701	522
765	1702	520
766	1704	517
767	1705	515
768	1707	512
769	1709	510
770	1711	508
771	1712	505
772	1714	503
773	1716	501
774	1718	498
775	1719	496
776	1721	494
777	1722	491
778	1724	489
779	1726	487
780	1728	484
781	1729	482
782	1731	479
783	1733	477
784	1735	475
785	1736	472
786	1738	470
787	1739	468
788	1741	465
789	1743	463
790	1745	461
791	1747	458
792	1749	456
793	1750	454
794	1753	452
795	1754	449
796	1757	447
797	1759	445
798	1761	443
799	1763	440
800	1764	438
801	1766	436
802	1768	433
803	1770	431
804	1772	429
805	1774	427
806	1775	424
807	1776	422
808	1778	419
809	1780	417
810	1782	415
811	1783	412
812	1785	410
813	1787	408
814	1788	405
815	1790	403
816	1791	401
817	1793	398
818	1794	396
819	1797	394
820	1799	392
821	1801	390
822	1803	387
823	1805	385
824	1806	383
825	1808	380
826	1810	378
827	1812	376
828	1813	374
829	1815	371
830	1817	369
831	1818	367
832	1820	364
833	1822	362
834	1823	360
835	1825	358
836	1826	355
837	1828	353
838	1829	351
839	1831	348
840	1833	346
841	1835	344
842	1836	342
843	1838	339
844	1839	337
845	1841	335
846	1842	332
847	1844	330
848	1845	328
849	1847	325
850	1849	323
851	1851	321
852	1852	319
853	1854	316
854	1855	314
855	1856	312
856	1858	310
857	1859	307
858	1861	305
859	1863	303
860	1865	301
861	1867	298
862	1868	296
863	1870	294
864	1871	292
865	1873	289
866	1874	287
867	1876	285
868	1879	283
869	1881	281
870	1882	278
871	1884	276
872	1886	274
873	1887	272
874	1889	269
875	1891	267
876	1892	265
877	1894	263
878	1896	261
879	1897	258
880	1899	256
881	1901	254
882	1902	252
883	1904	249
884	1905	247
885	1907	245
886	1908	243
887	1910	240
888	1912	238
889	1913	236
890	1915	234
891	1916	232
892	1918	229
893	1919	227
894	1921	225
895	1922	223
896	1924	220
897	1926	218
898	1927	216
899	1929	214
900	1931	212
901	1933	210
902	1934	207
903	1936	205
904	1937	203
905	1939	201
906	1941	199
907	1942	196
908	1944	194
909	1945	192
910	1947	190
911	1949	188
912	1950	185
913	1952	183
914	1953	181
915	1955	179
916	1957	177
917	1958	174
918	1960	172
919	1961	170
920	1963	168
921	1965	166
922	1966	164
923	1968	161
924	1970	159
925	1972	157
926	1973	155
927	1975	153
928	1977	151
929	1978	148
930	1980	146
931	1982	144
932	1984	142
933	1986	140
934	1987	138
935	1989	136
936	1991	133
937	1993	131
938	1994	129
939	1996	127
940	1998	125
941	2000	123
942	2001	121
943	2003	118
944	2005	116
945	2007	114
946	2009	112
947	2012	110
948	2013	108
949	2015	106
950	2017	103
951	2018	101
952	2020	99
953	2022	97
954	2023	95
955	2025	93
956	2027	91
957	2029	88
958	2031	86
959	2032	84
960	2034	82
961	2035	80
962	2036	78
963	2038	76
964	2039	73
965	2041	71
966	2042	69
967	2044	67
968	2045	65
969	2048	63
970	2049	61
971	2051	59
972	2052	56
973	2054	54
974	2055	52
975	2057	50
976	2059	48
977	2061	46
978	2063	44
979	2064	42
980	2066	40
981	2067	37
982	2069	35
983	2071	33
984	2073	31
985	2074	29
986	2076	27
987	2078	25
988	2080	23
989	2081	21
990	2083	18
991	2084	16
992	2086	14
993	2087	12
994	2089	10
995	2091	8
996	2092	6
997	2094	4
998	2096	2
999	2097	0
